name,distance,address,zip_code,city,store_id,phone,latitude,longitude
Plattsburgh Supercenter,29.09,25 Consumer Sq,12901,Plattsburgh,1994,518-561-0195,44.692173,-73.486997
Williston Store,35.59,863 Harvest Ln,05495,Williston,2224,802-878-5233,44.441633,-73.122127
Ticonderoga Supercenter,39.41,1134 Wicker St,12883,Ticonderoga,2424,518-585-3060,43.856814,-73.433253
Saint Albans Store,49.85,700 Tuckers Way,05478,Saint Albans,2332,802-528-4110,44.841719,-73.0897182
Potsdam Supercenter,12.47,7494 Us Highway 11,13676,Potsdam,3329,315-268-6900,44.661593,-75.026502
Massena Supercenter,12.73,43 Stephenville St,13662,Massena,1946,315-769-1072,44.922201,-74.877754
Malone Supercenter,24.17,3222 State Route 11,12953,Malone,3334,518-483-5968,44.845175,-74.329384
Ogdensburg Store,32.21,3000 Ford Street Ext,13669,Ogdensburg,2092,315-394-8990,44.708186,-75.456123
East Greenbush Supercenter,3.88,279 Troy Rd,12144,East Greenbush,1940,518-283-3055,42.641387,-73.7018126
Troy Supercenter,4.81,760 Hoosick Rd,12180,Troy,2370,518-279-0685,42.745784,-73.638741
Latham Supercenter,7.89,800 Loudon Road,12110,Latham,1997,518-783-4086,42.746495,-73.764381
Glenmont Supercenter,8.97,311 Route 9w,12077,Glenmont,3583,518-432-6120,42.608957,-73.792705
Albany Supercenter,10.51,141 Washington Ave Extension,12205,Albany,2152,518-869-4694,42.694877,-73.847121
Clifton Park Supercenter,12.96,1549 Route 9,12065,Clifton Park,2844,518-373-8457,42.846925,-73.74784
Schenectady Store,16.98,1320 Altamont Ave,12303,Schenectady,2264,518-355-2596,42.7854,-73.941664
Glenville Supercenter,19.13,200 Dutch Meadows Ln,12302,Glenville,2874,518-344-7035,42.84173,-73.944171
Bennington Supercenter,26.69,210 Northside Dr,05201,Bennington,2289,802-447-1614,42.897885,-73.210877
Pittsfield Store,26.9,555 Hubbard Ave Ste 12,01201,Pittsfield,2228,413-442-1971,42.464755,-73.197985
North Adams Supercenter,27.0,1415 Curran Memorial Hwy,01247,North Adams,1984,413-664-4004,42.664417,-73.110629
Hudson Supercenter,28.04,460 Fairview Ave,12534,Hudson,2097,518-822-0160,42.278396,-73.750352
Saratoga Springs Supercenter,30.08,16 Old Gick Rd,12866,Saratoga Springs,2056,518-581-8035,43.10445,-73.749197
Amsterdam Supercenter,33.92,101 Sanford Farms Shopping Ctr,12010,Amsterdam,2146,518-843-6890,42.964506,-74.183699
Catskill Supercenter,34.31,30 Catskill Cmns,12414,Catskill,2351,518-943-9423,42.212559,-73.882972
Cobleskill Supercenter,41.32,139 Merchant Pl,12043,Cobleskill,2135,518-234-1090,42.6823913,-74.4552524
Queensbury Supercenter,44.5,24 Quaker Ridge Blvd,12804,Queensbury,4403,518-746-4155,43.319893,-73.612395
Queensbury Supercenter,45.54,891 Route #9,12804,Queensbury,2116,518-793-0309,43.334668,-73.681457
New Hartford Supercenter,2.33,4765 Commercial Dr,13413,New Hartford,1677,315-736-4932,43.095414,-75.312346
Utica Supercenter,2.53,710 Horatio St,13502,Utica,2093,315-738-1155,43.12345,-75.225657
Rome Supercenter,14.28,5815 Rome Taberg Rd,13440,Rome,2234,315-338-7900,43.237252,-75.501823
Herkimer Supercenter,15.35,103 N Caroline St,13350,Herkimer,2285,315-717-0023,43.021424,-74.997828
Oneida Supercenter,21.2,2024 Genesee St,13421,Oneida,2444,315-361-1037,43.078461,-75.691395
Lowville Supercenter,46.69,7155 E State St # 12south,13367,Lowville,5498,315-376-7030,43.7736414,-75.478088
Gloversville Supercenter,47.38,329 S Kingsboro Ave Ext,12078,Gloversville,1806,518-725-2403,43.031276,-74.342248
Fulton Supercenter,20.94,1818 State Route #3,13069,Fulton,3332,315-598-1773,43.323635,-76.448689
Waterloo Supercenter,22.99,1860 N Road,13165,Waterloo,1705,315-539-2560,42.9076868,-76.8408491
Oswego Supercenter,24.18,341 State Route 104,13126,Oswego,1926,315-342-6210,43.464286,-76.479042
Auburn Supercenter,24.94,297 Grant Ave,13021,Auburn,1830,315-255-0532,42.9540567,-76.5481535
Liverpool Supercenter,30.74,8770 Dell Center Drive,13090,Liverpool,1831,315-622-5401,43.189246,-76.242531
Camillus Supercenter,32.27,5399 W Genesee St,13031,Camillus,2581,315-487-0121,43.037822,-76.272331
Central Square Supercenter,36.47,3018 East Ave,13036,Central Square,2911,315-668-0400,43.29137,-76.127475
Cicero Supercenter,37.25,8064 Brewereton Road,13039,Cicero,5242,315-698-0130,43.161056,-76.11748
East Syracuse Supercenter,41.66,6438 Basile Rowe,13057,East Syracuse,2166,315-434-9873,43.060842,-76.060077
Rochester Supercenter,20.05,1200 Marketplace Dr,14623,Rochester,1619,585-292-6000,43.080606,-77.62265
Rochester Supercenter,21.08,2150 Chili Ave,14624,Rochester,2859,585-429-9640,43.133781,-77.688947
Brockport Supercenter,22.88,6265 Brockport Spencerport Rd,14420,Brockport,1993,585-637-6331,43.196977,-77.927723
Victor Supercenter,25.2,441 Commerce Dr,14564,Victor,2785,585-398-6038,43.015934,-77.436261
Greece Store,25.45,100 Elmridge Center Dr,14626,Greece,1610,585-227-0720,43.214571,-77.724256
Rochester Supercenter,27.06,1490 Hudson Ave,14621,Rochester,3280,585-266-2000,43.1942812,-77.5968688
Greece Supercenter,28.63,3800 Dewey Ave,14616,Greece,5282,585-957-7382,43.239688,-77.643554
Webster Supercenter,29.89,1990 Brandt Point Drive,14580,Webster,1744,585-787-1370,43.190503,-77.498195
Macedon Supercenter,30.28,425 State Route 31,14502,Macedon,3842,315-986-1584,43.066512,-77.357871
Canandaigua Supercenter,32.98,4238 Recreation Dr,14424,Canandaigua,1673,585-394-5300,42.876081,-77.23991
Newark Supercenter,44.02,6788 State Route 31 E,14513,Newark,1813,315-331-5081,43.051597,-77.057757
Geneva Supercenter,44.04,990 State Route 5 And 20,14456,Geneva,1731,315-781-3253,42.859824,-77.021515
Warsaw Store,24.07,2348 Route #19,14569,Warsaw,2043,585-786-0700,42.767271,-78.128215
Geneseo Supercenter,39.67,4235 Veteran Dr,14454,Geneseo,1966,585-243-4090,42.802569,-77.788392
Niagara Falls Supercenter,10.17,1540 Military Rd,14304,Niagara Falls,1909,716-298-4484,43.094308,-78.978894
North Tonawanda Supercenter,14.92,886 Niagara Falls Blvd,14120,North Tonawanda,4597,716-243-4138,43.0559644,-78.8436698
Lockport Supercenter,16.55,5735 South Transit Road,14094,Lockport,2107,716-438-2404,43.147314,-78.694226
Amherst Supercenter,20.15,3290 Sheridan Dr,14226,Amherst,2210,716-691-0195,42.982385,-78.811839
Williamsville Supercenter,23.46,5033 Transit Rd,14221,Williamsville,2355,716-565-0250,42.983145,-78.693781
Cheektowaga Supercenter,26.17,2500 Walden Ave,14225,Cheektowaga,2586,716-896-3669,42.910469,-78.743309
Lancaster Supercenter,29.1,4975 Transit Rd,14043,Lancaster,5027,716-206-3050,42.882479,-78.694009
Hamburg Supercenter,34.96,5360 Southwestern Blvd,14075,Hamburg,2405,716-646-0682,42.743219,-78.871643
Albion Supercenter,38.79,13858 State Route 31,14411,Albion,3607,585-589-0608,43.234153,-78.226188
Batavia Supercenter,42.76,4133 Veterans Memorial Dr,14020,Batavia,2088,585-345-1050,43.013638,-78.207967
Springville Supercenter,49.76,317 S Cascade Dr,14141,Springville,2164,716-592-1460,42.500879,-78.693193
Warren Supercenter,8.34,2901 Market St,16365,Warren,3429,814-723-2640,41.882182,-79.150829
Lakewood Supercenter,15.32,350 E Fairmount Ave,14750,Lakewood,1973,716-763-0945,42.097,-79.299923
Fredonia Supercenter,39.96,10401 Bennett Rd,14063,Fredonia,1949,716-679-3150,42.45371,-79.313292
Blairsville Supercenter,29.0,300 Resort Plaza Dr,15717,Blairsville,5356,724-459-3349,40.442519,-79.226641
Indiana Supercenter,37.44,3100 Oakland Ave,15701,Indiana,2318,724-349-3565,40.603414,-79.194569
Kittanning Supercenter,31.13,1 Hilltop Plz,16201,Kittanning,1820,724-543-2023,40.814772,-79.54191
Clarion Supercenter,47.3,63 Perkins Rd,16214,Clarion,2540,814-226-0809,41.188708,-79.396144
Delmont Supercenter,49.79,6700 Hollywood Blvd,15626,Delmont,3228,724-468-6274,40.399049,-79.590241
Norwich Supercenter,45.15,5396 State Highway 12,13815,Norwich,2120,607-334-5553,42.496892,-75.526931
Oneonta Supercenter,48.05,5054 State Highway 23,13820,Oneonta,2262,607-431-9557,42.447466,-75.039081
Ebensburg Supercenter,45.45,300 Walmart Dr,15931,Ebensburg,2663,814-471-0200,40.475399,-78.750382
Cortland Supercenter,43.54,819 Bennie Rd,13045,Cortland,1781,607-756-1776,42.569011,-76.218215
Hornell Store,30.02,1000 State Route 36,14843,Hornell,2326,607-324-7019,42.346455,-77.669027
Olean Supercenter,48.48,1869 Plaza Dr,14760,Olean,2159,716-373-2781,42.080352,-78.467732
Sayre Supercenter,16.54,1887 Elmira St,18840,Sayre,2208,570-888-9791,41.976115,-76.542792
Vestal Supercenter,27.72,2405 Vestal Pkwy E,13850,Vestal,1835,607-798-1011,42.095462,-76.013283
Johnson City Supercenter,30.98,2 Gannett Dr,13790,Johnson City,5732,607-240-5040,42.115453,-75.946979
Horseheads Supercenter,36.47,1400 County Rd 64,14845,Horseheads,1976,607-739-1714,42.1568225,-76.8540245
Mansfield Supercenter,36.82,1169 S Main St,16933,Mansfield,1945,570-662-1115,41.783832,-77.066876
Ithaca Supercenter,45.28,135 Fairgrounds Memorial Pkwy,14850,Ithaca,5240,607-277-4510,42.427633,-76.513975
Painted Post Supercenter,46.52,3217 Silverback Ln,14870,Painted Post,2992,607-937-9627,42.155559,-77.106849
Watkins Glen Supercenter,48.89,515 E 4th St,14891,Watkins Glen,3221,607-535-3108,42.3807218,-76.863316
Altoona Supercenter,45.46,2600 Plank Road Commons,16601,Altoona,2049,814-949-8980,40.455457,-78.405524
Coal Township Supercenter,17.78,9300 State Route 61,17866,Coal Township,2481,570-648-6700,40.7878265,-76.5051024
Wilkes Barre Supercenter,28.72,2150 Wilkes Barre Twnsp Mktpl,18702,Wilkes Barre,1623,570-821-6180,41.238458,-75.858654
Pittston Supercenter,36.11,390 Route 315 Hwy,18640,Pittston,2543,570-883-9400,41.315535,-75.759593
Taylor Supercenter,42.79,1325 Main,18517,Taylor,4276,570-309-3510,41.3954756,-75.6860817
Tunkhannock Supercenter,43.95,808 Hunter Hwy,18657,Tunkhannock,2024,570-836-8064,41.523981,-75.94744
Dickson City Supercenter,47.98,900 Commerce Blvd,18519,Dickson City,1884,570-383-2354,41.465598,-75.6422658
Hazle Township Supercenter,44.3,761 Airport Rd,18202,Hazle Township,2255,570-454-8322,40.986535,-76.01243
Toms River Store,36.46,950 Route 37 W,08755,Toms River,1844,732-349-6000,39.9756642,-74.2382847
Saint Clair Supercenter,46.37,500 Terry Rich Blvd,17970,Saint Clair,2535,570-429-1959,40.727479,-76.19003
Mount Pocono Supercenter,42.33,3271 Route 940,18344,Mount Pocono,2365,570-895-4700,41.125512,-75.372294
East Greenville Supercenter,8.67,620 Gravel Pike,18041,East Greenville,3810,215-679-2782,40.410725,-75.510578
Allentown Supercenter,13.97,1091 Millcreek Rd,18106,Allentown,2641,610-530-1400,40.553855,-75.578777
Whitehall Supercenter,15.39,2601 Macarthur Rd Relocation,18052,Whitehall,2145,610-266-9645,40.645122,-75.487238
Bethlehem Store,15.58,3926 Linden St,18020,Bethlehem,3563,610-867-1300,40.672452,-75.342024
Bechtelsville Supercenter,16.05,567 Route 100 N,19505,Bechtelsville,5239,610-367-1005,40.351079,-75.630465
Easton Supercenter,18.85,3722 Easton Nazareth Hwy,18045,Easton,2252,610-250-8603,40.714538,-75.281208
Phillipsburg Supercenter,19.12,1300 Us Highway 22,08865,Phillipsburg,2497,908-454-3622,40.674234,-75.144632
Temple Supercenter,29.92,5370 Allentown Pike,19560,Temple,2614,610-939-0601,40.41759,-75.920373
Lehighton Supercenter,32.18,1731 Blakeslee Boulevard Dr E,18235,Lehighton,2169,570-386-3356,40.8096416,-75.7382802
Hamburg Supercenter,35.57,1800 Tilden Ridge,19526,Hamburg,4612,484-668-4001,40.564127,-76.012249
East Stroudsburg Supercenter,38.55,355 Lincoln Ave,18301,East Stroudsburg,2368,570-424-8415,40.98995,-75.182865
Tamaqua Supercenter,42.82,35 Plaza Dr,18252,Tamaqua,3634,570-668-2054,40.836824,-75.988013
Sutton Supercenter,48.95,369 Scotts Fork-bonnie Road,26601,Sutton,6951,304-689-3004,38.707195,-80.665258
Weston Supercenter,28.91,110 Berlin Rd,26452,Weston,1653,304-269-1549,39.019833,-80.4149
Crossville Supercenter,20.7,168 Obed Plz Ste 108,38555,Crossville,687,931-484-9745,35.983311,-85.035712
Rockwood Supercenter,48.37,1102 No. Gateway Ave,37854,Rockwood,676,865-354-0863,35.879877,-84.657694
Mcminnville Supercenter,16.62,915 N Chancery St,37110,Mcminnville,668,931-473-0826,35.69885,-85.788267
Lexington Supercenter,12.97,547 W Church St,38351,Lexington,684,731-968-5212,35.654492,-88.411623
Jackson Supercenter,29.32,2196 Emporium Dr,38305,Jackson,335,731-664-1157,35.668347,-88.851516
Waverly Supercenter,47.15,275 Walton Dr,37185,Waverly,390,931-296-9235,36.084335,-87.832573
Sparta Supercenter,49.6,202 Sam Walton Dr,38583,Sparta,587,931-738-3225,35.929108,-85.489893
Tompkinsville Supercenter,2.76,1650 Edmonton Rd,42167,Tompkinsville,2654,270-487-0780,36.723832,-85.685385
Algood Supercenter,40.0,589 W Main St,38506,Algood,5175,931-537-3880,36.185896,-85.45941
Cookeville Supercenter,42.28,768 S Jefferson Ave,38501,Cookeville,657,931-520-0232,36.14509,-85.496886
Jamestown Supercenter,47.63,539 E Central Ave,38556,Jamestown,1467,931-879-4767,36.426135,-84.922087
Bardstown Supercenter,41.61,3795 E John Rowan Blvd,40004,Bardstown,729,502-349-6007,37.799907,-85.436761
Williamsburg Supercenter,11.95,589 W Highway 92,40769,Williamsburg,1048,606-549-4075,36.720647,-84.171753
Oneida Supercenter,35.2,19740 Alberta St,37841,Oneida,583,423-569-6228,36.513272,-84.506121
Jacksboro Supercenter,36.61,2824 Appalachian Hwy,37757,Jacksboro,1466,423-566-5318,36.3361743,-84.1786969
Clinton Supercenter,47.3,150 Tanner Ln,37716,Clinton,4635,865-457-4121,36.169769,-84.086851
Middlesboro Supercenter,39.34,Us Hwy 441 Hwy 25e,40965,Middlesboro,739,606-248-9087,36.62223,-83.707611
New Tazewell Store,46.96,432 S Broad St,37825,New Tazewell,1159,423-626-6550,36.439395,-83.609231
Whitesburg Store,29.42,350 Whitesburg Plaza,41858,Whitesburg,552,606-633-0152,37.117108,-82.794907
Harlan Store,31.8,201 Walton Road,40831,Harlan,1743,606-573-2206,36.817489,-83.318374
Jonesville Supercenter,39.51,468 Trade Center Ln,24263,Jonesville,3772,276-346-2860,36.725109,-83.103434
Barbourville Store,43.06,301 Parkway Plz,40906,Barbourville,1189,606-546-5454,36.85829,-83.868434
Norton Supercenter,43.96,780 Commonwealth Dr,24273,Norton,1302,276-679-7327,36.956107,-82.601448
Pikeville Supercenter,44.12,254 Cassidy Blvd,41501,Pikeville,1505,606-432-6177,37.507105,-82.540367
Somerset Supercenter,16.37,177 Washington Dr,42501,Somerset,689,606-679-9204,37.068529,-84.623456
Monticello Supercenter,29.4,175 Walmart Plaza Dr,42633,Monticello,1234,606-348-3331,36.857879,-84.84871
Campbellsville Supercenter,33.89,725 Campbellsville Byp,42718,Campbellsville,665,270-789-0707,37.345868,-85.373597
Lebanon Supercenter,34.35,2136 Campbellsville Rd,40033,Lebanon,1675,270-692-1880,37.553369,-85.283895
Columbia Supercenter,34.43,2988 Burkesville Rd,42728,Columbia,569,270-384-4745,37.075612,-85.334473
Corbin Supercenter,42.07,60 S Stewart Rd,40701,Corbin,1259,606-523-1770,36.972144,-84.102527
Paris Supercenter,34.17,1210 Mineral Wells Ave,38242,Paris,177,731-644-0290,36.281103,-88.307919
Huntingdon Supercenter,40.1,180 Veterans Dr N,38344,Huntingdon,161,731-986-4439,35.997828,-88.43735
Milan Supercenter,40.56,15427 S First St,38358,Milan,104,731-686-9557,35.876197,-88.748089
Camden Supercenter,49.98,2200 Highway 641 N,38320,Camden,738,731-584-4445,36.088711,-88.108643
Corry Supercenter,49.86,961 E Columbus Ave,16407,Corry,2909,814-663-8070,41.934047,-79.61228
Erie Supercenter,36.89,2711 Elm St,16504,Erie,5445,814-459-3625,42.122991,-80.041162
Harborcreek Supercenter,41.35,5741 Buffalo Rd,16421,Harborcreek,3281,814-899-6255,42.159486,-79.968079
Natrona Heights Supercenter,48.68,100 Highlands Mall,15065,Natrona Heights,3738,724-226-6949,40.646984,-79.712979
Tarentum Supercenter,46.63,2010 Village Center Dr,15084,Tarentum,3838,724-274-0260,40.564139,-79.804075
Erie Supercenter,43.35,5350 W. Ridge Rd,16506,Erie,2561,814-835-0556,42.0679412,-80.1958952
Erie Supercenter,45.78,1825 Downs Dr,16509,Erie,2278,814-864-7330,42.052037,-80.079822
Titusville Supercenter,48.26,11415 Hydetown Rd,16354,Titusville,5360,814-827-0850,41.633346,-79.698841
Ashtabula Supercenter,25.51,3551 N Ridge Rd E,44004,Ashtabula,2359,440-998-4000,41.883457,-80.749532
Edinboro Supercenter,46.95,108 Washington Towne Blvd N,16412,Edinboro,3253,814-734-0900,41.87676,-80.174154
Bethel Park Store,38.36,5055 Library Rd,15102,Bethel Park,5381,412-831-0459,40.33898,-80.023429
West Mifflin Supercenter,42.28,2351 Century Dr,15122,West Mifflin,2281,412-655-3404,40.341812,-79.946456
Pittsburgh Store,48.9,877 Freeport Rd,15238,Pittsburgh,5339,412-782-4444,40.488338,-79.888894
North Versailles Supercenter,49.34,100 Walmart Dr,15137,North Versailles,2588,412-816-0301,40.387242,-79.824695
Cranberry Supercenter,48.75,10 Kimberly Ln,16319,Cranberry,2597,814-678-0037,41.348945,-79.718049
Hermitage Supercenter,14.21,1275 N Hermitage Rd,16148,Hermitage,1568,724-346-5940,41.249775,-80.452895
Greenville Supercenter,26.14,45 Williamson Rd,16125,Greenville,2674,724-589-0211,41.415526,-80.358976
Grove City Store,28.11,1566 W Main Street Ext,16127,Grove City,2008,724-458-5877,41.168113,-80.114575
Butler Supercenter,40.02,400 Butler Cmns,16001,Butler,1885,724-282-4060,40.878144,-79.943131
Meadville Supercenter,42.19,16086 Conneaut Lake Rd,16335,Meadville,1656,814-724-6267,41.6222542,-80.2138609
Gibsonia Store,49.59,300 Walmart Dr,15044,Gibsonia,2603,724-449-2700,40.623175,-79.946528
Lawrenceburg Supercenter,41.55,1000 Bypass N,40342,Lawrenceburg,507,502-839-5178,38.035243,-84.909083
Spencer Supercenter,49.32,97 Williams Dr,25276,Spencer,2810,304-927-6920,38.797766,-81.35037
Ashland Supercenter,12.66,351 River Hill Dr,41101,Ashland,1426,606-329-0012,38.485575,-82.658168
South Point Supercenter,12.7,354 Private Drive 288,45680,South Point,1478,740-894-3235,38.410806,-82.524603
Huntington Supercenter,13.43,3333 Us Route 60,25705,Huntington,2244,304-525-8889,38.407103,-82.37526
Barboursville Supercenter,16.09,25 Nichols Dr,25504,Barboursville,5296,304-733-0789,38.421895,-82.256481
Ashland Supercenter,19.22,12504 U.s. Route 60,41102,Ashland,2638,606-929-9510,38.388444,-82.7113
Wayne Supercenter,22.99,100 Mcginnis Dr,25570,Wayne,2792,304-272-3633,38.256797,-82.429866
Hurricane Supercenter,25.93,167 Progress Way,25526,Hurricane,4277,304-562-0475,38.4411319,-82.0233958
Buffalo Pharmacy,26.62,3707 Buffalo Road,25033,Buffalo,7256,304-937-4204,38.623471,-81.973419
Louisa Supercenter,34.67,275 Walton Dr,41230,Louisa,4461,606-673-4427,38.102517,-82.624121
Cross Lanes Supercenter,37.57,100 Nitro Market Pl,25313,Cross Lanes,2576,304-769-0100,38.411369,-81.807563
South Charleston Supercenter,44.66,2700 Mountaineer Blvd,25309,South Charleston,2036,304-746-1720,38.319613,-81.713949
New Martinsville Supercenter,13.96,1142 S Bridge St,26155,New Martinsville,2684,304-455-6522,39.656581,-80.859604
Jackson Supercenter,21.42,100 Walmart Dr,45640,Jackson,1519,740-288-2700,39.031686,-82.621747
Mason Supercenter,27.03,320 Mallard Lane,25260,Mason,2849,304-773-9125,39.010434,-82.0343166
Gallipolis Supercenter,34.2,2145 Eastern Ave,45631,Gallipolis,2605,740-441-0406,38.821547,-82.171727
Waverly Supercenter,34.67,990 W Emmitt Ave,45690,Waverly,2572,740-947-1700,39.110636,-82.999445
Parkersburg Supercenter,45.42,2900 Pike St,26101,Parkersburg,2823,304-489-1905,39.21578,-81.548619
New Boston Supercenter,46.62,4490 Gallia St,45662,New Boston,1564,740-456-8257,38.752864,-82.925293
Ripley Supercenter,47.97,200 Academy Dr,25271,Ripley,1450,304-372-4482,38.829015,-81.719331
Marysville Supercenter,16.75,555 Colemans Crossing Blvd,43040,Marysville,1595,937-644-2800,40.230455,-83.345774
Kenton Supercenter,21.52,1241 E Columbus St,43326,Kenton,5355,419-675-1156,40.657293,-83.583847
Marion Supercenter,32.57,1546 Marion-mt. Gilead Road,43302,Marion,1750,740-389-3404,40.584009,-83.088355
Upper Sandusky Supercenter,39.45,1855 E Wyandot Ave,43351,Upper Sandusky,3809,419-294-3404,40.834615,-83.232228
Marietta Supercenter,46.5,804 Pike St,45750,Marietta,2078,740-376-9030,39.40411,-81.418983
Vienna Supercenter,47.67,701 Grand Central Ave,26105,Vienna,1782,304-422-3522,39.306283,-81.553726
Storm Lake Supercenter,48.41,1831 Lake Ave,50588,Storm Lake,1526,712-732-7940,42.664048,-95.197118
Oskaloosa Supercenter,33.41,2203 Avenue A West,52577,Oskaloosa,1393,641-673-3839,41.298646,-92.669863
Fort Dodge Supercenter,17.83,3036 1st Ave S,50501,Fort Dodge,886,515-576-7400,42.506696,-94.153204
Iowa Falls Store,24.46,840 S Oak St,50126,Iowa Falls,1546,641-648-5145,42.502357,-93.260392
Mountain Iron Supercenter,44.52,8580 Rock Ridge Dr,55768,Mountain Iron,4849,218-305-3314,47.5229841,-92.5910689
Little Falls Supercenter,46.74,15091 18th St Ne,56345,Little Falls,1634,320-632-9268,45.980168,-94.337543
Mason City Supercenter,48.43,4151 4th St Sw,50401,Mason City,810,641-423-6767,43.1455271,-93.2624869
Fairmont Supercenter,14.99,1250 Goemann Rd,56031,Fairmont,3806,507-235-2500,43.681934,-94.444776
Albert Lea Supercenter,42.92,1550 Blake Ave,56007,Albert Lea,1020,507-377-2998,43.664017,-93.325601
Redwood Falls Supercenter,23.01,1410 E Bridge St,56283,Redwood Falls,1865,507-644-6278,44.540069,-95.087846
Willmar Supercenter,41.28,700 19th Ave Se,56201,Willmar,1470,320-231-3456,45.100793,-95.035261
Spirit Lake Supercenter,25.88,2200 17th St.,51360,Spirit Lake,1415,712-336-1339,43.424486,-95.12447
Spencer Supercenter,39.13,500 11th St Sw,51301,Spencer,2714,712-262-5001,43.125152,-95.152506
Grand Rapids Supercenter,41.73,100 Se 29th St,55744,Grand Rapids,1609,218-326-9682,47.2017,-93.525989
Hibbing Supercenter,46.23,12080 Highway 169 W,55746,Hibbing,2937,218-262-2351,47.397667,-92.960236
Mankato Supercenter,42.61,1881 E Madison Ave,56001,Mankato,1473,507-625-9318,44.163908,-93.950642
New Ulm Supercenter,42.79,1720 Westridge Rd,56073,New Ulm,3760,507-354-0900,44.328703,-94.505311
Owatonna Supercenter,31.9,1130 W Frontage Rd,55060,Owatonna,982,507-455-0049,44.097971,-93.249726
Waseca Supercenter,43.75,2103 State St N,56093,Waseca,1038,507-835-2250,44.097475,-93.509965
Austin Supercenter,45.73,1000 18th Ave Nw,55912,Austin,4257,507-434-8159,43.6878184,-92.9872555
Rochester Supercenter,32.46,3400 55th St Nw,55901,Rochester,1971,507-280-7733,44.07697,-92.511312
Superior Supercenter,8.22,3705 Tower Ave,54880,Superior,1447,715-392-6060,46.694534,-92.106919
Cloquet Supercenter,12.37,1308 Highway 33 S,55720,Cloquet,1929,218-878-0737,46.7033486,-92.4518609
Hermantown Supercenter,14.47,4740 Mall Dr,55811,Hermantown,1757,218-727-1310,46.817374,-92.18404
Rochester Supercenter,49.62,25 25th St Se,55904,Rochester,2812,507-292-0909,43.986706,-92.459468
Winona Supercenter,28.04,955 Frontenac Dr,55987,Winona,5397,507-452-0102,44.032852,-91.617418
Menomonie Supercenter,16.95,180 Cedar Falls Rd,54751,Menomonie,1819,715-235-6565,44.910874,-91.930707
Baxter Supercenter,48.67,7295 Glory Rd,56425,Baxter,1654,218-829-2220,46.341881,-94.249555
